HNum,Rh,Rm,RAs,Dd,Dm,Ds,Vmag,plx,plxe,BV,BVe,CNum,HD,BD
6,0,0,4.3,3,56,47.4,12.31,18.8,4.99,1.336,0.02,,,
7,0,0,5.4,20,2,11.8,9.64,17.74,1.3,0.74,0.02,,,B+19 5185
10,0,0,8.7,-50,52,1.5,8.59,10.76,1.1,0.489,0.011,,224717,
18,0,0,12.7,-4,3,13.5,11.03,19.93,2.36,1.567,0.197,,,B- 4 6001
24,0,0,18.2,-23,27,9.9,9.05,9.73,1.21,0.528,0.015,,224746,
26,0,0,20.2,-13,23,35.9,9.13,9.19,1.34,0.535,0.02,,224744,B-14 6597
27,0,0,20.5,-41,17,51.1,9.32,9.66,1.38,0.671,0.017,,224748,
38,0,0,26.6,-79,3,42.6,8.65,23.84,0.78,0.778,0.015,,224752,
47,0,0,32.4,-56,50,6.9,10.78,24.45,1.97,1.15,0.02,,,
50,0,0,34.2,-53,5,51.6,6.49,16.89,0.8,0.616,0.005,00006-5306,224782,
54,0,0,36.4,17,58,8.2,10.57,20.97,1.71,1.03,0.015,,,
55,0,0,37.8,-66,40,59.2,7.4,14.66,0.98,0.551,0.015,00006-6641,224783,
65,0,0,45.1,-54,49,49.2,11,16.98,2.43,1.147,0.005,,,
68,0,0,48.1,16,59,20.3,8.79,31.8,1.17,0.94,0.015,,224808,B+16 5027
74,0,0,53.2,35,45,9.8,9.93,24.22,1.36,1.068,0.066,,,B+34 5045
81,0,0,58.5,-4,55,55.6,8.57,23.43,1.28,0.642,0.002,,224828,B- 5 6097
84,0,1,0.4,27,53,10.8,9.61,18.9,1.33,0.852,0.046,,,B+27 4663
93,0,1,10.1,0,4,33.3,8.12,16.74,1.28,0.619,0.015,,224839,B- 0 4605
94,0,1,10.7,-32,45,24.5,10.1,10.48,1.48,0.644,0.035,,,
95,0,1,12.4,-11,57,50.4,8.67,7.85,1.17,0.513,0.012,,224847,B-12 6599
96,0,1,13.1,13,58,29.1,10.46,19.83,5.16,1.36,0.01,00012+1358,,B+13 5195
98,0,1,13.7,-52,47,54.9,9.87,6.49,1.44,0.551,0.022,,224851,
101,0,1,16.7,-47,47,37.8,9.88,7.35,1.74,0.509,0.034,,224864,
103,0,1,17.3,-68,22,15.7,8.29,9.15,0.76,0.538,0.01,,224853,
104,0,1,18.4,-31,53,58.6,9.34,8.16,1.21,0.543,0.018,,224863,
111,0,1,23.7,34,16,54.7,11.28,27.11,2.33,1.308,0.02,,,
114,0,1,29.2,30,44,9.2,7.95,9.93,1.95,0.654,0.007,00015+3044,224882,B+29 5046
118,0,1,32.7,-9,25,48.1,9.2,12.08,1.33,0.606,0.02,,224883,B-10 6212
129,0,1,39.7,5,22,21.9,9.32,6.6,1.3,0.559,0.007,,224897,B+ 4 5081
135,0,1,42.4,0,13,3,8.64,20.1,1.22,0.62,0.019,,224908,B- 1 4517
140,0,1,48.6,-68,6,17.3,9.04,8.98,0.93,0.546,0.016,,224915,
142,0,1,48.9,66,18,21.6,7.33,16.04,0.69,0.73,0.008,,224918,B+65 1984
143,0,1,49.2,21,27,43.7,10.35,20.05,1.64,1.033,0.019,,,
152,0,1,56.2,-28,7,51.4,10.02,5.1,1.42,0.456,0.015,,,
153,0,1,56.2,12,39,17.8,8.9,5.54,1.23,0.459,0.024,,224932,B+11 5087
166,0,2,5.1,-56,30,53.6,8.86,9.46,1.18,0.66,0.015,,224965,
169,0,2,8.4,-68,16,48.7,9.24,63.03,1.98,1.39,0.042,00021-6817,224953,
179,0,2,16.5,-13,24,27.1,6.9,14.91,0.9,0.534,0.002,,224974,B-14 6603
184,0,2,21.5,11,0,22.8,8.48,29.75,1.21,0.888,0.02,,224983,B+10 5022
187,0,2,24.5,-6,3,33.1,8.99,6.69,1.38,0.5,0.034,,224997,B- 6 6348
188,0,2,24.6,6,19,59.3,8.64,10.49,1.23,0.488,0.022,,224996,B+ 5 5252
191,0,2,26.9,-46,1,43.8,12.43,22.98,4.38,1.49,0.015,,,
206,0,2,35.2,18,50,9.6,8.56,9.32,1.02,0.436,0.018,,225013,B+18 5259
219,0,2,45.6,6,2,4,8.56,10.78,1.28,0.602,0.024,,225027,B+ 5 5253
228,0,2,50.4,28,15,6.8,7.64,9.53,0.87,0.532,0.013,,225036,B+27 4669
246,0,3,3.2,56,43,59.5,9.73,18.29,1.56,0.99,0.02,,,B+55 3074
249,0,3,5.8,31,52,12.4,8.75,13.24,1.03,0.552,0.022,,,B+31 5024
276,0,3,25.9,20,39,57.3,7.49,15.55,0.95,0.636,0.015,,225097,B+19 5197
290,0,3,36.9,-31,5,38.5,7.78,15.26,1.03,0.563,0.015,,225120,
293,0,3,39.8,-57,9,52,8.29,13.14,0.97,0.488,0.01,,225133,
299,0,3,44.1,-63,36,2.4,8.44,9.67,0.86,0.508,0.012,,225134,
305,0,3,53.3,-28,23,37.6,7.66,20.44,0.96,0.741,0.01,,225155,
307,0,3,55.1,-42,33,34.2,11.55,16.27,2.71,1.26,0.015,,,
310,0,3,56.9,-43,11,29.4,9.58,12.24,1.44,0.7,0.005,,225156,
315,0,3,58.1,-71,16,43.1,9.62,6.67,0.97,0.657,0.037,,225168,
321,0,4,7.8,-25,53,33.2,8.93,9.88,1.18,0.607,0.016,,225175,
324,0,4,10.2,17,26,12.1,8.53,8.18,1,0.491,0.015,,225181,B+16 5037
325,0,4,10.4,39,7,12.5,8.56,14.48,1.07,0.615,0.017,,225173,B+38 5117
329,0,4,12.3,-10,8,28.6,9.83,9.2,1.5,0.699,0.004,,225185,B-10 6219
332,0,4,14.6,-34,24,52.8,8.41,6.58,0.94,0.563,0.009,,225189,
337,0,4,16.1,-25,54,54,9.6,11.87,1.49,0.75,0.02,,,
340,0,4,17.7,-43,59,18,8.11,14.91,1.01,0.484,0.009,,225201,
342,0,4,18.9,-20,34,7.5,9.6,7.92,1.55,0.549,0.03,,225198,B-21 6524
348,0,4,21.3,12,57,25.4,8.6,16.79,1.13,0.64,0.015,,225194,B+12 5061
350,0,4,23.8,-57,19,22.3,10.37,21.14,1.62,1.1,0.02,,,
351,0,4,24.6,-47,4,5.3,9.8,22.52,1.48,0.855,0.006,,225208,
356,0,4,30.1,-6,57,55.2,8.43,9.89,1.1,0.611,0.015,,225211,B- 7 6142
392,0,4,51.9,30,5,9.4,7.93,10.47,1.53,0.478,0.014,00049+3005,225260,B+29 5057
400,0,4,56,23,16,10.7,7.82,39.06,0.93,0.755,0.013,,225261,B+22 4950
403,0,4,56.9,-18,10,42.6,8.97,11.56,1.31,0.674,0.019,,225280,B-18 6421
404,0,4,57.5,45,40,26.2,7.47,14.53,1.21,0.55,0.015,00050+4540,225291,B+44 4549
407,0,4,58.6,-70,12,43.9,8.13,22.09,0.71,0.71,0.015,,225299,
409,0,4,59,-70,29,32.7,8.41,8.49,0.77,0.461,0.015,,225300,
413,0,5,2.4,-36,0,55,7.73,19.78,0.87,0.537,0.005,,225297,
416,0,5,3.4,1,2,16.2,8.84,8.73,1.17,0.759,0.02,,225294,B+ 0 5085
420,0,5,7.6,-52,9,5.1,7.53,23.9,0.85,0.577,0.006,,23,
428,0,5,10.1,45,47,13,9.95,86.98,1.41,1.472,0.019,,,B+44 4548
429,0,5,10.1,2,23,50.3,8.69,11.12,1.22,0.644,0.019,,5,B+ 1 4825
436,0,5,17.8,-67,49,52.4,8.49,62.48,0.82,1.076,0.018,,55,
449,0,5,22.7,-33,29,57.9,9.16,9.89,1.18,0.782,0.02,,52,
459,0,5,28.3,-61,13,32.4,8.82,18.57,0.95,0.666,0.016,,67,
460,0,5,28.7,22,13,28.8,9.13,22.2,1.14,0.735,0.025,,40,B+21 5026
462,0,5,31.1,-9,37,2.3,7.13,19.81,0.94,0.446,0.008,,63,B-10 6227
467,0,5,35.1,-47,34,9.5,9.73,6.89,1.46,0.725,0.03,,78,
481,0,5,44,-36,46,42.4,10.15,7.28,1.45,0.677,0.039,,,
486,0,5,49.6,-52,49,12.4,9.37,6.18,1.34,0.507,0.016,,106,
487,0,5,50.9,78,44,18.3,9.44,11.21,1.34,0.617,0.126,00059+7844,,B+77 936
488,0,5,51,-68,33,4.6,9.99,7.92,1.61,0.646,0.041,00058-6833,121,
489,0,5,51.8,2,45,52.7,10.38,13.23,1.74,0.782,0.065,,,B+ 1 4827
492,0,5,54.8,-14,25,57.8,9.57,6.5,1.46,0.51,0.02,00059-1426,,B-15 6542
493,0,5,54.8,18,14,7.3,7.45,26.24,0.82,0.596,0.01,,101,B+17 5035
495,0,5,55.5,18,4,34.4,8.58,25.77,2.07,0.92,0.01,00059+1805,113,B+17 5036
509,0,6,5.2,-31,26,39.6,9.67,13.05,1.67,0.633,0.031,,129,
517,0,6,15.3,-55,29,55.3,8.89,5.95,1.14,0.476,0.016,,152,
524,0,6,19.9,-12,1,1.9,8.75,7.24,1.32,0.487,0.016,,148,B-12 6611
530,0,6,25.9,42,45,9.9,8.35,8.11,0.91,0.624,0.015,,153,B+41 4937
532,0,6,26.8,-74,24,4,9.85,4.6,1.18,0.526,0.015,,183,
535,0,6,28.4,-43,37,39.8,10.07,5.95,1.54,0.59,0.02,,,
538,0,6,31.6,5,49,31.1,10.95,13.26,2.41,1.008,0.006,,,
539,0,6,33.9,43,46,56.2,8.87,6.15,1.06,0.426,0.017,,165,B+42 4834
554,0,6,46.3,-13,44,55.3,9.84,9.89,1.59,0.69,0.02,,,B-14 6619
565,0,6,52.3,1,51,39.6,8.98,6.64,1.23,0.567,0.024,,199,B+ 1 4832
569,0,6,53.9,-3,37,32.6,8.23,18.71,1.05,0.58,0.012,,208,B- 4 6025
577,0,7,0.5,32,52,13,9.61,15.97,1.47,0.761,0.042,,,B+32 4772
599,0,7,15.4,-41,53,22.6,8.23,17.18,1,0.599,0.002,,259,
601,0,7,18.1,20,57,56.2,9.14,17.98,2.35,0.74,0.015,00073+2058,250,B+20 5430
604,0,7,19.4,1,39,54.3,8.95,8.23,1.18,0.653,0.024,,253,B+ 0 5087
606,0,7,22.4,-25,21,22.8,7.06,20.63,0.91,0.463,0.015,,268,
616,0,7,32.3,-23,49,8.2,8.7,30.76,1.21,0.798,0.003,,283,
618,0,7,34.7,-60,38,30.2,8.37,8.86,1.46,0.595,0.016,00076-6039,309,
624,0,7,37.4,-45,7,9.5,8.19,8.21,0.99,0.584,0.002,,307,
630,0,7,40.5,39,2,5.7,8.01,9.58,0.89,0.456,0.012,,291,B+38 2
642,0,7,53.1,-4,51,17.6,9.08,11.55,1.4,0.595,0.001,,316,B- 5 3
643,0,7,54.7,-42,9,13.9,10.1,5.57,1.58,0.57,0.02,,,
649,0,8,0.2,-7,32,41.2,7.85,10.66,0.99,0.505,0.015,,334,B- 8 3
665,0,8,13.1,-43,38,48.1,10.26,7.53,1.63,0.73,0.02,,,
676,0,8,22.5,21,55,27.5,9.4,10.7,1.27,0.57,0.031,,,B+21 1
687,0,8,27.3,17,25,28,10.73,45.64,1.92,1.46,0.015,,,
690,0,8,29.7,-66,30,50.9,9.26,11.01,0.95,0.675,0.023,,403,
693,0,8,31.2,20,16,2.5,8.94,9.47,1.13,0.419,0.025,,387,B+19 7
713,0,8,49.9,-60,15,52.3,9.55,4.78,1.13,0.473,0.023,,458,
722,0,8,56.5,12,48,16.1,8.48,12.89,1.03,0.537,0.014,,435,B+11 2
726,0,8,59.5,-39,44,13.6,7.72,18.22,0.95,0.62,0.007,,457,
733,0,9,2.7,9,50,59.9,8.58,10.46,1.13,0.714,0.017,,449,B+ 9 5
735,0,9,3.1,22,39,51.4,9.23,6.32,1.08,0.383,0.029,,446,B+21 2
738,0,9,3.9,-27,7,20.5,11.73,42.82,2.61,1.493,0.01,,,
748,0,9,11,21,3,33.7,9.25,5.87,1.08,0.537,0.027,,461,B+20 7
751,0,9,12.9,42,15,15.8,9.9,4.56,1.26,0.561,0.038,,,B+41 4
753,0,9,14.6,32,28,36,9.33,17.75,1.21,0.812,0.031,,,B+31 3
758,0,9,19.1,-41,53,11.1,9.6,7.75,1.28,0.446,0.022,,495,
762,0,9,23.2,-41,2,39.1,9.11,11.89,1.31,0.83,0.002,,494,
772,0,9,30.7,-34,6,38.8,8.52,16.26,0.98,0.687,0.014,,512,
777,0,9,35.2,-21,22,54.7,8.92,8.17,1.89,0.499,0.02,00096-2123,511,B-22 12
787,0,9,43.5,-31,49,29.8,9.53,23.86,1.59,0.965,0.005,,520,
791,0,9,48.4,-40,53,33.5,8.57,13.92,1.11,0.644,0.013,,547,
794,0,9,50.1,-33,47,19.3,8.84,17.08,1.86,0.833,0.003,00098-3347,546,
801,0,9,52.9,-50,16,4,8.32,18.8,1.05,0.595,0.01,,564,
808,0,9,57.5,43,26,18.3,9.04,7.14,1.07,0.542,0.02,,528,B+42 10
819,0,10,4.4,-79,0,6.6,7.88,11.15,0.68,0.476,0.015,,610,
822,0,10,5.2,84,9,7.1,8.38,7.73,0.7,0.371,0.013,,486,B+83 1
823,0,10,5.2,38,24,53.6,10.65,10.83,2.1,1.077,0.121,00101+3825,,
827,0,10,6.7,-28,20,16.1,10.05,6.95,1.59,0.7,0.02,,,
833,0,10,10.4,-19,59,0.8,9.47,6.1,1.56,0.526,0.009,,575,B-20 9
845,0,10,22.7,-43,31,22.5,9.32,4.82,1.18,0.511,0.005,,620,
846,0,10,22.9,-13,59,2.9,8.92,13.53,1.28,0.578,0.003,,603,B-14 11
847,0,10,23,-11,47,9,8.38,10.15,1.04,0.508,0.013,,602,B-12 10
854,0,10,28.4,13,35,41.9,8.98,7.48,1.29,0.471,0.02,,,B+12 6
856,0,10,29.6,15,13,54.9,8.24,12.91,1.06,0.491,0.015,,615,B+14 8
867,0,10,39.1,12,49,13,8.47,15.57,1.17,0.574,0.015,,631,B+11 10
869,0,10,40.6,13,13,22.8,8.97,8.77,1.49,0.497,0.02,,,B+12 8
875,0,10,45.7,-38,46,7.9,8.68,7.95,1.08,0.588,0.001,,657,
879,0,10,46.7,-73,30,26.7,9.4,9.43,1,0.551,0.015,,677,
883,0,10,47.4,-57,29,10.6,8.27,7.77,2.24,0.517,0.021,00108-5729,675,
889,0,10,55.9,48,6,37.5,8.41,16.45,0.95,0.575,0.013,,652,B+47 17
894,0,10,58.1,52,26,34,8.9,6.25,1.13,0.5,0.015,,232123,B+51 16
895,0,11,1.4,29,33,1.9,8.55,12.6,1.18,0.435,0.017,,664,B+28 11
896,0,11,3.6,13,45,1.8,9.15,9.37,1.25,0.477,0.021,,,B+12 10
897,0,11,4.4,-5,47,2.4,10.86,39.19,2.29,1.418,0.018,,,B- 6 15
898,0,11,4.4,5,12,31.3,11.55,24.32,3.25,1.395,0.019,,,
904,0,11,9,-7,22,34.3,8.9,8.36,1.21,0.473,0.029,,681,B- 8 13
914,0,11,18.1,-32,48,1.5,8.6,15.08,1.1,0.7,0.015,,705,
920,0,11,24.4,23,49,5.3,8.23,18.6,0.91,0.581,0.015,,700,B+23 10
924,0,11,30.8,-49,37,45.2,8.97,20.86,2.16,0.807,0.005,00115-4938,734,
929,0,11,32.7,-58,54,35.4,8.34,17,0.82,0.619,0.002,,741,
931,0,11,35.1,-3,4,40.8,7.56,9.91,1.48,0.551,0.015,00116-0305,717,B- 3 14
934,0,11,35.6,-57,28,20.6,9.04,27.46,1.09,0.891,0.02,,750,
941,0,11,37.2,-72,16,31.7,8.85,8.01,0.94,0.518,0.007,,751,
943,0,11,37.4,10,19,42.4,8.61,20.55,1.21,0.643,0.022,,727,B+ 9 13
947,0,11,40.7,-9,42,10,8.53,6.88,1.58,0.515,0.015,00117-0942,738,B-10 16
952,0,11,45.7,27,30,36.9,8.45,10.91,1.15,0.481,0.015,,737,B+26 6
953,0,11,47.1,-33,14,1.8,8.73,9.29,1.09,0.646,0.016,,758,
955,0,11,48.1,-17,33,27.7,9.02,16.48,1.49,0.599,0.021,,747,B-18 12
960,0,11,50.8,-19,42,11.7,9.72,9.92,1.46,0.557,0.003,,748,B-20 16
961,0,11,51,-35,32,48.5,9.34,10.46,1.33,0.695,0.022,,759,
976,0,12,5.4,-7,5,19.2,8.66,10.57,1.33,0.43,0.021,,778,B- 7 16
985,0,12,12.9,-27,47,4.4,8.25,9.81,1.21,0.448,0.015,,798,
991,0,12,18.3,-40,38,44.1,10.58,8.64,1.94,0.6,0.061,,,
992,0,12,19.7,-57,30,21.3,10.05,9.1,1.47,0.643,0.04,,814,
996,0,12,28.2,20,14,3.8,8.18,19.39,1,0.669,0.013,,804,B+19 18
1000,0,12,30.1,-22,4,1.5,8.73,15.32,1.34,0.707,0.002,,812,B-22 23
1003,0,12,32.8,-30,51,33.4,8.66,21.09,1.23,0.743,0.007,,823,
1016,0,12,39.6,-59,30,28.3,9.56,7.06,1.25,0.659,0.027,,858,
1022,0,12,45,4,58,33,9.85,15.9,1.78,0.939,0.015,,,B+ 4 16
1028,0,12,49.5,-31,53,51.7,8.8,6.35,1.36,0.725,0.015,,856,
1029,0,12,49.8,-47,30,48.7,9.86,5.72,1.59,0.601,0.003,,857,
1044,0,13,2.6,-45,10,34.8,10.74,27.5,1.94,1.308,0.002,,,
1045,0,13,3.6,-24,57,16.7,10.1,5.52,1.48,0.584,0.015,,,
1051,0,13,5.9,20,11,25.5,8.75,11.11,1.11,0.401,0.02,,864,B+19 19
1052,0,13,8.4,84,2,39.3,9.02,9.18,0.94,0.489,0.021,,,B+83 3
1055,0,13,9,20,22,56.7,10.41,24.96,2.95,1.36,0.015,00132+2023,,B+19 20
1058,0,13,9.9,-43,3,54.6,7.57,14.72,0.86,0.453,0.015,,903,
1072,0,13,18.2,-20,37,7.7,7.45,10.64,0.9,0.48,0.015,00133-2037,899,B-21 15
1078,0,13,24.3,19,4,17.9,9.86,28.3,1.48,1.19,0.02,,,B+18 15
1085,0,13,30.8,-40,21,30.2,9.05,30,1.25,0.913,0.02,,924,
1094,0,13,39.1,-28,18,2.6,10.96,11.12,2.34,0.952,0.007,,,
1114,0,13,52.9,-56,59,59.2,7.15,14.45,0.76,0.513,0.004,,980,
1119,0,14,0,-10,57,13.3,9.42,24.14,1.58,0.962,0.005,,,B-11 28
1121,0,14,1.2,0,52,7.4,9.22,6.69,1.23,0.523,0.028,,964,B+ 0 21
1137,0,14,13,35,25,5,8.08,13.44,0.89,0.461,0.009,,975,B+34 18
1140,0,14,14.7,-55,4,10.5,6.66,21.62,0.68,0.462,0.008,,1004,
1147,0,14,20.8,-21,11,47,6.89,18.19,0.9,0.502,0.005,,1000,B-21 17
1154,0,14,25.5,-27,10,11.2,8.93,7.55,1.12,0.618,0.022,,1018,
1166,0,14,35.5,-31,1,23.6,9.49,8.31,1.44,0.476,0.027,,1039,
1173,0,14,39,-39,47,39,9.18,13.85,1.37,0.657,0.019,,1040,
1174,0,14,39.2,12,14,11,9.1,12.12,1.4,0.681,0.02,,,B+11 22
1184,0,14,47.7,62,11,46.9,8.49,8.41,0.87,0.528,0.012,,1010,B+61 18
1188,0,14,49.9,23,47,36.3,8.62,7.09,1.01,0.556,0.015,,1047,B+22 26
1203,0,15,3.5,-33,35,2.2,9.09,9.36,1.24,0.53,0.015,,1088,
1206,0,15,4.5,-68,31,48.8,8.57,22.9,0.93,0.695,0.015,,1108,
1214,0,15,9.8,17,41,29.9,8.98,5.97,1.17,0.505,0.024,,1084,B+16 14
1224,0,15,14.5,53,4,26.6,10.36,12.24,2.14,0.89,0.02,,,
1251,0,15,41.2,-26,26,32,10,8.16,1.71,0.68,0.02,,,
1252,0,15,42.1,-7,18,23,8.93,6.48,1.4,0.518,0.026,,1147,B- 8 29
1258,0,15,47.1,-66,55,26.6,8.54,11.65,0.8,0.551,0.015,,1184,
1266,0,15,51.8,-8,52,34.6,9.05,10.45,1.3,0.557,0.024,,1162,B- 9 32
1274,0,15,59.8,-9,28,46.2,8.57,13.96,1.25,0.568,0.019,,1170,B-10 34
1275,0,16,0,-22,25,17.2,9.76,19.25,1.67,0.74,0.009,,1171,
1276,0,16,2,-48,15,37,11.58,41.32,3.89,1.647,0.082,,,
1281,0,16,3.1,-71,15,5,9.22,5.18,1.48,0.537,0.019,00161-7115,1209,
1290,0,16,10.4,-27,46,41.3,9.35,13.79,1.38,0.655,0.003,,1196,
1291,0,16,10.9,55,52,5,9.02,5.96,1.11,0.42,0.015,,236362,B+55 36
1297,0,16,14.5,35,10,40.8,8.92,14.92,0.97,0.718,0.016,,1178,B+34 24
1300,0,16,20.7,71,55,51.5,9.74,7.65,0.94,0.446,0.038,,,B+71 9
1304,0,16,22.2,-19,23,57.3,8.78,12.54,1.22,0.623,0.018,,1204,B-20 32
1305,0,16,23.4,-34,49,45.5,9.07,9.45,1.22,0.586,0.019,,1216,
1308,0,16,24.2,-46,43,11.5,11.06,21.82,2.32,1.258,0.015,,,
1313,0,16,31.3,-56,13,28.5,9.18,5.71,1.22,0.588,0.017,,1251,
1321,0,16,35.1,-1,31,23.2,8.52,11.21,1.18,0.24,0.015,,1229,B- 2 26
1322,0,16,36.2,-50,16,10.8,12.38,44.82,3.44,1.53,0.02,,,
1334,0,16,43.1,20,51,24,10.01,23.92,1.54,0.95,0.02,,,B+20 17
1335,0,16,43.4,41,50,58,8.58,10.38,0.96,0.59,0.015,,1212,B+41 28
1344,0,16,50.4,32,27,2.9,10.04,7.98,1.59,0.493,0.039,,,B+31 24
1350,0,16,53.7,-7,11,31.1,8.94,15.06,1.47,0.625,0.028,,1267,B- 7 32
1358,0,17,1.3,21,46,27.2,9.36,8.04,2.38,0.463,0.045,00170+2146,,B+20 18
1374,0,17,11.9,-18,18,21.1,10.67,9.21,2.06,0.628,0.001,,,B-19 27
1375,0,17,11.9,-61,15,30,8.5,7.35,0.88,0.469,0.012,,1323,
1382,0,17,16.2,-43,51,9.7,7.96,27.32,0.84,0.651,0.003,,1320,
1385,0,17,19.8,0,35,24.4,8.96,9.83,1.29,0.637,0.026,,1311,B- 0 32
1389,0,17,22.2,18,51,34.4,10.51,23.3,3.17,1.31,0.02,00174+1852,,B+18 24
1393,0,17,24.3,-51,31,20.5,9.36,8.38,2.39,0.547,0.016,00174-5131,1332,
1394,0,17,24.3,-66,34,1.5,8.3,11.28,0.79,0.524,0.015,00174-6634,1358,
1398,0,17,30,-47,25,59.6,11.36,24.12,2.91,1.22,0.015,,,
1399,0,17,30.3,-59,57,3.8,11.3,22.54,2.33,1.4,0.02,,,
1400,0,17,30.5,45,45,57.5,8.82,10.73,1.1,0.552,0.013,,1307,B+44 54
1404,0,17,34.5,-69,52,42.4,8.25,10.52,0.72,0.589,0.015,,1391,
1407,0,17,36.4,-64,22,42.9,11.3,21.8,1.97,1.31,0.015,,,
1408,0,17,38.7,-52,48,4.5,10.42,17.1,1.77,0.998,0.003,,,
1411,0,17,40.4,37,32,16.3,9.09,14.58,1.15,0.635,0.025,,1327,B+36 25
1420,0,17,47,-3,16,27.4,10.43,17,2.22,1,0.002,,,B- 4 24
1430,0,17,51.3,-49,17,26.3,9.56,8.35,1.47,0.577,0.021,,1381,
1442,0,17,57.6,40,13,39,9.94,16.75,1.48,0.82,0.02,,,B+39 51
1444,0,17,58.6,-13,27,20.3,6.51,38.24,0.85,0.599,0.004,,1388,B-14 42
1453,0,18,6.1,-26,54,28.4,9.7,8.82,1.54,0.624,0.036,,1409,
1463,0,18,16.5,10,12,10.3,10.88,61.67,2.2,1.479,0.012,,,
1467,0,18,18.3,-34,10,23.8,8.68,6.06,1.2,0.49,0.015,,1432,
1468,0,18,18.4,19,24,15.9,8.94,14.05,1.13,0.57,0.027,,1407,B+18 27
1478,0,18,21.5,49,30,35.2,7.84,8.87,1.18,0.586,0.015,00184+4931,1402,B+48 67
1491,0,18,33.2,-40,17,4.2,9.33,4.57,1.29,0.51,0.015,,1464,
1499,0,18,41.6,-8,3,9.5,6.47,42.67,0.85,0.674,0.008,,1461,B- 8 38
1500,0,18,41.9,-29,57,24.8,8.36,16.71,0.99,0.591,0.015,,1474,
1509,0,18,47.5,-10,56,57.6,8.16,8.04,1,0.553,0.015,00188-1057,1472,B-11 44
1518,0,18,55.6,-59,7,54.2,9.46,9.37,1.23,0.698,0.024,,1505,
1532,0,19,5.5,-9,57,50.8,9.9,48.17,1.73,1.318,0.004,,,B-10 47
1534,0,19,6.8,17,34,20.5,9.21,6.68,1.15,0.707,0.027,,,B+16 19
1536,0,19,7.4,-67,34,42.4,9.58,12.22,1.01,0.625,0.027,,1533,
1541,0,19,12.7,13,34,38.2,8.19,14.21,1.07,0.657,0.015,,1497,B+12 18
1552,0,19,21.3,-40,7,14,8.12,18.95,0.99,0.661,0.002,,1530,
1563,0,19,25.8,13,51,52.5,9.33,6.88,1.47,0.415,0.033,,,B+13 35
1565,0,19,28.8,-17,40,44,7.95,11.36,1.08,0.818,0.012,,1529,B-18 39
1567,0,19,29.4,-54,0,41.4,8.49,13.16,1.04,0.575,0.012,,1551,
1572,0,19,36.4,-69,6,10.2,8.75,14.55,0.84,0.594,0.015,,1582,
1577,0,19,43.5,-56,51,5.4,9.68,5.7,1.44,0.497,0.024,,1570,
1582,0,19,48.7,-60,54,43.9,7.97,16.31,0.82,0.552,0.012,,1591,
1599,0,20,1.9,-64,52,39.4,4.23,116.38,0.64,0.576,0.01,,1581,
1608,0,20,8.2,-17,3,40.9,11.67,39.31,3.03,1.49,0.011,,,
1612,0,20,10.9,11,2,57.8,8.96,8.7,1.25,0.495,0.022,,,B+10 28
1613,0,20,11,-55,59,38.4,9.83,14.46,1.29,0.837,0.033,,1622,
1620,0,20,15.1,9,31,35.7,9.32,10.07,1.54,0.627,0.004,,1584,B+ 8 32
1634,0,20,28.4,40,55,19.8,8.15,8.32,0.96,0.519,0.015,,1603,B+40 57
1636,0,20,29,-36,56,11.1,9.14,10.8,1.19,0.612,0.002,,1645,
1654,0,20,44.4,-15,40,1.9,9.14,17.37,1.26,0.725,0.003,,,B-16 51
1665,0,20,51.4,-81,36,43.5,9.58,5.76,0.89,0.546,0.025,,1783,
1666,0,20,52.3,-19,55,51.9,8.17,9.04,1.01,0.523,0.015,,1666,B-20 48
1668,0,20,54,-29,41,22.6,8.38,12.68,1.21,0.536,0.015,,1674,
1672,0,20,55.2,-65,6,48.7,8.41,10.14,0.86,0.819,0.025,00209-6507,1706,
1673,0,20,56,63,40,3.1,8.79,13.2,0.99,0.537,0.019,,1625,B+62 58
1674,0,20,57,67,40,2.3,7.91,31.49,1.51,0.815,0.015,00210+6740,1624,B+66 19
1679,0,21,0.7,-32,43,24.5,9.31,11.58,1.4,0.667,0.027,,1681,
1680,0,21,0.8,29,42,27.5,9.98,6.32,1.72,0.815,0.045,,,B+28 42
1683,0,21,2.9,-58,45,37.9,8.99,10.03,1.16,0.647,0.02,,1705,
1685,0,21,6.8,-26,15,40.6,9.34,9.51,1.28,0.526,0.011,,1692,
1696,0,21,19.5,-45,44,40,10.41,55.68,2.02,1.475,0.016,,,
1704,0,21,25.6,28,19,34.2,7.73,14.99,0.95,0.419,0.01,,1699,B+27 43
1712,0,21,33.1,-35,21,38.1,8.56,10.65,1.11,0.532,0.008,,1751,
1716,0,21,35.4,37,25,9.9,8.9,6.44,1.15,0.364,0.02,,1713,B+36 37
1718,0,21,35.4,-16,12,27.1,8.64,8.57,1.23,0.476,0.015,,1736,B-17 42
1719,0,21,35.5,-66,28,36.2,9.65,23.22,1.02,0.835,0.004,00216-6629,,
1723,0,21,39.7,-47,10,39.8,9.71,19.82,2.27,1.036,0.005,00217-4711,1762,
1729,0,21,51,-22,38,34.2,8.44,7.04,1.3,0.533,0.014,,1765,
1731,0,21,51.3,-23,23,11.2,8.99,8.91,1.34,0.495,0.015,,1776,
1734,0,21,56,-31,24,20.1,11.16,54.91,2.19,1.485,0.015,,,
1736,0,21,57.2,16,52,37.5,7.57,16.04,0.88,0.48,0.012,,1764,B+16 25
