HNum,Rh,Rm,RAs,Dd,Dm,Ds,Vmag,plx,plxe,BV,BVe,CNum,HD,BD
59913,12,17,22.7,-63,13,37.1,8.97,15.88,1.07,0.7,0.015,,106840,
59918,12,17,27.9,2,53,17,10.1,16.81,1.72,0.78,0.02,,,B+ 3 2623
59924,12,17,31.1,-42,57,24.8,8.8,11.02,1.28,0.594,0.017,12175-4257,106867,
59925,12,17,32.2,-24,1,6.8,10.14,29.51,1.7,1.155,0.003,,,
59926,12,17,32.1,-48,55,31.8,6.81,23.68,0.85,0.574,0.004,,106869,
59928,12,17,33.8,-84,17,26.1,8.49,10.47,0.77,0.465,0.013,,106732,
59931,12,17,35,7,37,21.4,10.89,14.19,1.95,0.951,0.173,,,
59933,12,17,36.2,14,26,34.5,8.17,17.1,0.98,0.543,0.007,,106888,B+15 2441
59934,12,17,36.8,-66,58,6.7,8.84,8.55,0.88,0.481,0.017,,106848,
59937,12,17,38.3,62,25,31.4,9.91,19.47,1.26,1.01,0.045,,,B+63 1004
59938,12,17,39.3,-33,14,15.4,9.48,13.81,2.43,0.735,0.024,12177-3314,106900,
59942,12,17,44.9,22,10,3.8,9.46,7.31,1.44,0.467,0.036,,,B+22 2456
59947,12,17,46.8,-39,4,3.1,11.17,31,2.38,1.382,0.014,,,
59953,12,17,48.7,46,37,21.7,11.62,25.09,2.78,1.7,0.49,,,
59958,12,17,50.9,15,1,9.2,8.36,9.93,0.98,0.527,0.002,,106949,B+15 2443
59960,12,17,53.2,-55,58,31.8,7.8,10.89,0.9,0.458,0.003,,106906,
59962,12,17,53.5,31,59,33.3,9.53,7.09,1.45,0.435,0.036,,,B+32 2233
59968,12,17,56.8,-35,49,53.5,8.5,12.75,0.92,0.762,0.014,,106937,
59973,12,17,58.7,32,44,2.1,9.08,9.23,1.31,0.53,0.015,,106971,B+33 2217
59974,12,18,0.1,-14,56,17.6,8.81,13.51,1.14,0.653,0.003,12180-1456,106953,B-14 3486
59977,12,18,1,20,25,15.3,9.38,10.48,1.51,0.646,0.029,,,B+21 2406
59986,12,18,11,22,42,54.1,8.7,7.7,1.2,0.519,0.015,,106985,B+23 2445
60007,12,18,24.6,-31,29,42.3,7.49,16.58,0.84,0.498,0.006,,107006,
60008,12,18,24.7,39,48,4.9,9.26,4.74,1.27,0.46,0.015,,107030,B+40 2521
60015,12,18,29.1,8,41,8.7,9.05,7.18,1.13,0.532,0.025,,107034,B+ 9 2614
60016,12,18,29.6,-42,25,37.9,8.76,21.99,1.11,0.841,0.019,,107008,
60020,12,18,33.5,-43,3,41.7,8.46,9.04,1.1,0.511,0.015,,107021,
60024,12,18,36.1,-44,8,42.1,8.41,22.28,1.19,0.685,0.007,,107022,
60025,12,18,36.1,23,7,12.4,8.69,14.54,1.23,0.523,0.005,,107067,B+23 2447
60031,12,18,40.9,26,11,24.8,7.56,15.97,0.9,0.451,0.011,,107086,B+26 2324
60032,12,18,41.4,-32,1,33.4,9.22,8.18,1.33,0.642,0.02,,107062,
60033,12,18,42.1,21,30,48.8,9.25,6.68,1.17,0.526,0.015,,,B+22 2459
60043,12,18,48.2,-29,57,38.9,8.52,7.88,1.12,0.513,0.015,,107074,
60047,12,18,53.8,56,22,6.7,9.03,7.12,1.99,0.527,0.024,12189+5622,238098,B+57 1366
60048,12,18,54,-40,7,39.6,7.95,22.88,0.96,0.606,0.015,,107076,
